Nom de l'e-mail,Date d'envoi (votre fuseau horaire),Envoyé,Taux de clics/ouvertures,Taux de distribution,Taux de désabonnement,Taux de spam,Taux d'ouverture,Taux de clics,Cliqué,Remis,Ouvert,Désabonné,segments,statut,reason,segment,statut_filled
EN - Remerciement brochure - MSc in Luxury and design management,2026-06-18 13:37:18,48,60.0,100.0,0.0,0.0,41.667,25.0,12,48,20,0,"{'bac45', 'bac3'}",,ok,bac45,lead
EN - Remerciement brochure - MSc in Luxury and design management,2026-06-18 13:37:18,48,60.0,100.0,0.0,0.0,41.667,25.0,12,48,20,0,"{'bac45', 'bac3'}",,ok,bac3,lead
"FR - Remerciement brochure - MSc Finance, risques et marchés",2026-06-18 13:22:10,7,50.0,100.0,0.0,0.0,28.571,14.286,1,7,2,0,"{'bac45', 'bac3'}",,ok,bac45,lead
"FR - Remerciement brochure - MSc Finance, risques et marchés",2026-06-18 13:22:10,7,50.0,100.0,0.0,0.0,28.571,14.286,1,7,2,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Remerciement brochure - iBBA,2026-06-18 12:14:09,10,33.333,100.0,0.0,0.0,60.0,20.0,2,10,6,0,{'terminale'},,ok,terminale,lead
FR - Workflow AST 2026 - bac+2 - Interêt double ou nul - Mail n°1 (LEAD),2026-06-18 10:57:56,33,16.667,100.0,0.0,0.0,18.182,3.03,1,33,6,0,{'bac2'},lead,ok,bac2,lead
FR - Félicitations pour ton admissibilité à ICN (prépa) 2026-2027,2026-06-10 16:15:38,1500,34.371,100.0,0.4,0.0,49.267,16.933,254,1500,739,6,{'bac2'},,ok,bac2,lead
FR - Nurturing 25/26 - Cible AST B+3 intérêt PGE - Contact commerciaux - version Karim,2025-10-24 10:55:19,4,0.0,100.0,0.0,0.0,0.0,0.0,0,4,0,0,{'bac3'},,ok,bac3,lead
INT - Nurturing FR 25-26 - IBBA,2026-06-24 11:57:58,4,0.0,100.0,0.0,0.0,50.0,0.0,0,4,2,0,{'terminale'},,ok,terminale,lead
INT - Nurturing FR 25-26 - MSc,2026-06-24 11:57:41,37,0.0,100.0,2.703,0.0,27.027,0.0,0,37,10,1,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Nurturing FR 25-26 - MSc,2026-06-24 11:57:41,37,0.0,100.0,2.703,0.0,27.027,0.0,0,37,10,1,"{'bac45', 'bac3'}",,ok,bac3,lead
